product_code,size_value,color_value,option_name
01P0000211751,FR,기타,기타/FR
01P0000211752,FR,기타,기타/FR
01P0000211753,FR,기타,기타/FR
01P0000211755,소,다크브라운,다크브라운/소
01P0000211890,FR,기타,기타/FR
01P0000211892,FR,기타,기타/FR
01P0000212097,대,기타,기타/대
01P0000212099,특대,기타,기타/특대
01P0000213686,Free,투명,투명/Free
01P0000216498,3칸,투명,투명/3칸
01P0000216499,2칸,투명,투명/2칸
01P0000216503,6칸,투명,투명/6칸
01P0000216504,3칸,투명,투명/3칸
01P0000217701,대,기타,기타/대
01P0000217702,중,기타,기타/중
01P0000219123,FR,기타,기타/FR
01P0000221402,Free,블랙,블랙/Free
01P0000221403,Free,블랙,블랙/Free
01P0000221405,Free,블랙,블랙/Free
01P0000221406,Free,블랙,블랙/Free
01P0000221407,Free,블랙,블랙/Free
01P0000237371,FR,화이트,화이트/FR
01P0000237384,FR,베이지,베이지/FR
01P0000237406,FR,기타,기타/FR
01P0000237407,FR,기타,기타/FR
01P0000237408,FR,기타,기타/FR
01P0000237409,FR,기타,기타/FR
01P0000237410,FR,기타,기타/FR
01P0000237411,FR,다크그레이,다크그레이/FR
01P0000237412,FR,오프화이트,오프화이트/FR
01P0000237456,FR,기타,기타/FR
01P0000239417,FR,투명,투명/FR
01P0000239429,FR,그린,그린/FR
01P0000240243,26cm,기타,기타/26cm
01P0000240244,20cm,기타,기타/20cm
01P0000240929,FR,기타,기타/FR
01P0000240930,FR,기타,기타/FR
01P0000240931,FR,기타,기타/FR
01P0000242380,FR,기타,기타/FR
01P0000244677,FR,기타,기타/FR
01P0000244679,FR,실버,실버/FR
01P0000244684,FR,기타,기타/FR
01P0000244686,12cm,기타,기타/12cm
01P0000245157,FR,기타,기타/FR
01P0000245161,FR,기타,기타/FR
01P0000247043,FR,기타,기타/FR
01P0000248318,4구,기타,기타/4구
01P0000248319,4구,기타,기타/4구
01P0000248320,3구,기타,기타/3구
01P0000249090,FR,기타,기타/FR
01P0000249091,FR,기타,기타/FR
01P0000249092,FR,기타,기타/FR
01P0000249093,FR,기타,기타/FR
01P0000249094,FR,기타,기타/FR
01P0000249095,FR,기타,기타/FR
01P0000249096,FR,기타,기타/FR
01P0000249097,FR,기타,기타/FR
01P0000249098,FR,기타,기타/FR
01P0000249099,FR,기타,기타/FR
01P0000249544,소,화이트,화이트/소
01P0000249545,FR,화이트,화이트/FR
01P0000249546,FR,화이트,화이트/FR
01P0000249547,FR,기타,기타/FR
01P0000249548,FR,기타,기타/FR
01P0000249549,FR,기타,기타/FR
01P0000249551,FR,화이트,화이트/FR
01P0000249554,FR,기타,기타/FR
01P0000249556,FR,화이트,화이트/FR
01P0000250200,미니,기타,기타/미니
01P0000250514,FR,기타,기타/FR
01P0000250516,FR,기타,기타/FR
01P0000251263,중,기타,기타/중
01P0000253778,Free,투명,투명/Free
01P0000253971,Free,블랙,블랙/Free
01P0000254088,Free,베이지,베이지/Free
01P0000255484,대,기타,기타/대
01P0000255485,중,기타,기타/중
01P0000255502,대,기타,기타/대
01P0000256876,FR,기타,기타/FR
01P0000256878,FR,기타,기타/FR
01P0000257037,FR,기타,기타/FR
01P0000257038,FR,화이트,화이트/FR
01P0000257040,FR,기타,기타/FR
01P0000257041,FR,기타,기타/FR
01P0000257043,FR,화이트,화이트/FR
01P0000257061,FR,기타,기타/FR
01P0000257062,FR,화이트,화이트/FR
01P0000257063,FR,기타,기타/FR
01P0000257346,Free,화이트,화이트/Free
01P0000257348,Free,블랙,블랙/Free
01P0000257456,소,기타,기타/소
01P0000258850,대,기타,기타/대
01P0000258851,중,기타,기타/중
01P0000258852,대,기타,기타/대
01P0000258853,중,기타,기타/중
01P0000258854,대,기타,기타/대
01P0000258855,중,기타,기타/중
01P0000258883,소,기타,기타/소
01P0000259504,FR,기타,기타/FR
01P0000259725,FR,기타,기타/FR
01P0000259726,FR,기타,기타/FR
01P0000259743,FR,기타,기타/FR
01P0000259744,FR,기타,기타/FR
01P0000259745,FR,기타,기타/FR
01P0000259746,FR,기타,기타/FR
01P0000259747,FR,기타,기타/FR
01P0000263475,FR,민트,민트/FR
01P0000263477,상의,베이지,베이지/상의
01P0000263481,하의,실버,실버/하의
01P0000263482,상의,실버,실버/상의
01P0000263483,FR,기타,기타/FR
01P0000263484,FR,기타,기타/FR
01P0000263485,FR,기타,기타/FR
01P0000263486,FR,기타,기타/FR
01P0000268933,FR,기타,기타/FR
01P0000268934,FR,기타,기타/FR
01P0000269445,Free,화이트,화이트/Free
01P0000269447,Free,화이트,화이트/Free
01P0000269448,Free,화이트,화이트/Free
01P0000269449,Free,라이트 옐로우,라이트 옐로우/Free
01P0000269735,FR,기타,기타/FR
01P0000269811,Free,NONE,NONE/Free
01P0000269826,Free,NONE,NONE/Free
01P0000269835,Free,유포릭 퓨전,유포릭 퓨전/Free
01P0000269835,Free,브릴리언트 누드,브릴리언트 누드/Free
01P0000269835,Free,인캔디센트 일렉트라,인캔디센트 일렉트라/Free
01P0000269839,Free,이트리얼 글로우,이트리얼 글로우/Free
01P0000269839,Free,무드 익스포저,무드 익스포저/Free
01P0000269839,Free,딤인퓨전,딤인퓨전/Free
01P0000269839,Free,디퓨즈드 히트,디퓨즈드 히트/Free
01P0000269839,Free,루미너스 플러쉬,루미너스 플러쉬/Free
01P0000269839,Free,서브라임 플러쉬,서브라임 플러쉬/Free
01P0000269967,Free,NONE,NONE/Free
01P0000269969,Free,브론즈,브론즈/Free
01P0000269969,Free,오션,오션/Free
01P0000269969,Free,캐니언,캐니언/Free
01P0000269969,Free,옵시디언,옵시디언/Free
01P0000269969,Free,미티어라이트,미티어라이트/Free
01P0000269974,Free,옵시디언,옵시디언/Free
01P0000269975,Free,다크 브루넷,다크 브루넷/Free
01P0000269975,Free,웜 브루넷,웜 브루넷/Free
01P0000269975,Free,오번,오번/Free
01P0000269975,Free,소프트 브루넷,소프트 브루넷/Free
01P0000269975,Free,웜 블론드,웜 블론드/Free
01P0000269975,Free,블론드,블론드/Free
01P0000269981,Free,NONE,NONE/Free
01P0000269983,Free,내츄럴 블랙,내츄럴 블랙/Free
01P0000269983,Free,블론드,블론드/Free
01P0000269983,Free,애쉬,애쉬/Free
01P0000269983,Free,웜브루넷,웜브루넷/Free
01P0000269983,Free,오번,오번/Free
01P0000269983,Free,웜블론드,웜블론드/Free
01P0000269983,Free,플래티넘 블론드,플래티넘 블론드/Free
01P0000269983,Free,소프트브루넷,소프트브루넷/Free
01P0000269983,Free,다크 브루넷,다크 브루넷/Free
01P0000269991,Free,블랙,블랙/Free
01P0000269995,Free,NONE,NONE/Free
01P0000269996,Free,블레이즈,블레이즈/Free
01P0000269996,Free,포일,포일/Free
01P0000269996,Free,리플렉트,리플렉트/Free
01P0000269996,Free,아우라,아우라/Free
01P0000269996,Free,스모크,스모크/Free
01P0000269996,Free,버니쉬,버니쉬/Free
01P0000269996,Free,랩쳐,랩쳐/Free
01P0000269996,Free,레이,레이/Free
01P0000269996,Free,비비드,비비드/Free
01P0000270005,Free,누드,누드/Free
01P0000270005,Free,디퓨즈드,디퓨즈드/Free
01P0000270005,Free,레디언트,레디언트/Free
01P0000270005,Free,루미너스,루미너스/Free
01P0000270013,Free,인캔디센트,인캔디센트/Free
01P0000270013,Free,이리덴슨트,이리덴슨트/Free
01P0000270013,Free,브릴리언트,브릴리언트/Free
01P0000270013,Free,유포릭,유포릭/Free
01P0000270014,Free,이더리얼,이더리얼/Free
01P0000270014,Free,무드,무드/Free
01P0000270014,Free,래디언트,래디언트/Free
01P0000270014,Free,딤라이트,딤라이트/Free
01P0000270014,Free,디퓨즈드,디퓨즈드/Free
01P0000270014,Free,루미너스,루미너스/Free
01P0000270020,Free,멀티,멀티/Free
01P0000270020,Free,볼륨,볼륨/Free
01P0000270114,Free,NONE,NONE/Free
01P0000270115,Free,NONE,NONE/Free
01P0000270116,Free,NONE,NONE/Free
01P0000270117,Free,투명,투명/Free
01P0000270118,Free,투명,투명/Free
01P0000270183,FR,기타,기타/FR
01P0000270426,FR,크림,크림/FR
01P0000270435,FR,그레이,그레이/FR
